unique_id,worker_id,gender,english_first_language,age_group,education,dataset
96,1503,male,0,18-30,bachelors,toxicity
97,1022,male,0,18-30,doctorate,toxicity
98,238,male,0,45-60,masters,toxicity
99,1078,male,0,45-60,masters,toxicity
100,243,female,0,18-30,hs,toxicity
101,879,female,1,18-30,hs,toxicity
102,499,male,0,18-30,hs,toxicity
103,194,male,0,18-30,hs,toxicity
104,770,male,0,30-45,hs,toxicity
105,1815,female,0,30-45,bachelors,toxicity
106,449,male,0,18-30,bachelors,toxicity
107,1305,male,0,18-30,hs,toxicity
108,285,female,0,30-45,professional,toxicity
109,2663,female,0,18-30,masters,toxicity
110,3571,female,1,18-30,masters,toxicity
111,2071,male,0,18-30,hs,toxicity
112,157,male,0,18-30,hs,toxicity
113,694,male,0,18-30,hs,toxicity
114,2055,male,0,18-30,hs,toxicity
115,467,male,0,18-30,some,toxicity
116,147,female,0,Under 18,hs,toxicity
117,409,male,0,18-30,bachelors,toxicity
118,86,female,0,18-30,professional,toxicity
119,511,male,0,18-30,bachelors,toxicity
120,3423,male,1,18-30,bachelors,toxicity
121,2514,female,1,30-45,bachelors,toxicity
122,2246,male,0,18-30,some,toxicity
123,477,female,1,30-45,hs,toxicity
124,2015,male,0,,hs,toxicity
125,597,male,0,45-60,hs,toxicity
126,1694,female,0,30-45,bachelors,toxicity
127,649,male,0,30-45,bachelors,toxicity
128,70,male,1,30-45,bachelors,toxicity
129,435,male,0,30-45,hs,toxicity
130,1816,male,1,30-45,bachelors,toxicity
131,287,female,0,18-30,masters,toxicity
132,447,male,0,18-30,hs,toxicity
133,18,male,0,18-30,hs,toxicity
134,2786,female,0,45-60,bachelors,toxicity
135,540,male,0,30-45,hs,toxicity
136,3756,female,1,30-45,bachelors,toxicity
137,2136,female,0,30-45,professional,toxicity
138,1648,male,0,18-30,bachelors,toxicity
139,619,male,0,18-30,professional,toxicity
140,442,male,0,18-30,bachelors,toxicity
141,3851,female,1,18-30,bachelors,toxicity
142,2177,male,0,30-45,hs,toxicity
143,1936,male,0,18-30,hs,toxicity
144,3026,male,0,18-30,doctorate,toxicity
145,125,male,0,30-45,hs,toxicity
146,74,male,1,18-30,bachelors,toxicity
147,64,male,1,30-45,bachelors,toxicity
148,716,male,0,18-30,hs,toxicity
149,1633,male,0,30-45,bachelors,toxicity
150,974,male,1,18-30,bachelors,toxicity
151,699,female,0,18-30,bachelors,toxicity
152,1783,male,1,18-30,hs,toxicity
153,2930,female,0,45-60,professional,toxicity
154,1854,female,0,18-30,professional,toxicity
155,362,male,0,30-45,bachelors,toxicity
156,1379,female,0,30-45,bachelors,toxicity
157,557,male,0,18-30,hs,toxicity
158,40,male,0,30-45,hs,toxicity
159,1900,female,1,18-30,masters,toxicity
160,1840,female,0,30-45,bachelors,toxicity
161,538,male,0,30-45,bachelors,toxicity
162,1570,male,0,30-45,professional,toxicity
163,3091,female,0,45-60,hs,toxicity
164,69,male,0,30-45,hs,toxicity
165,1382,male,0,18-30,bachelors,toxicity
166,1236,male,0,18-30,hs,toxicity
167,1181,male,0,45-60,some,toxicity
168,3576,male,1,18-30,bachelors,toxicity
169,81,male,0,18-30,hs,toxicity
170,136,female,0,30-45,hs,toxicity
171,751,female,0,18-30,bachelors,toxicity
172,305,male,0,18-30,bachelors,toxicity
173,643,male,0,18-30,some,toxicity
174,44,male,0,30-45,professional,toxicity
175,1698,female,0,30-45,bachelors,toxicity
176,1748,male,1,30-45,masters,toxicity
177,1957,male,0,18-30,masters,toxicity
178,210,male,0,18-30,bachelors,toxicity
179,325,male,0,30-45,masters,toxicity
180,2475,male,0,18-30,bachelors,toxicity
181,742,male,0,18-30,masters,toxicity
182,3579,female,0,45-60,professional,toxicity
183,3892,male,1,30-45,bachelors,toxicity
184,2936,female,1,45-60,hs,toxicity
185,2711,female,0,18-30,bachelors,toxicity
186,186,male,0,18-30,bachelors,toxicity
187,642,male,0,18-30,bachelors,toxicity
188,1338,male,0,18-30,bachelors,toxicity
189,645,male,0,18-30,hs,toxicity
190,632,male,0,18-30,bachelors,toxicity
191,639,female,0,18-30,masters,toxicity
192,550,female,0,30-45,masters,toxicity
193,883,male,1,30-45,bachelors,toxicity
194,123,female,0,18-30,bachelors,toxicity
195,1430,female,1,18-30,bachelors,toxicity
196,1829,male,0,30-45,bachelors,toxicity
197,636,female,0,30-45,bachelors,toxicity
198,2156,female,0,30-45,masters,toxicity
199,628,male,0,18-30,professional,toxicity
200,994,male,1,30-45,masters,toxicity
201,328,female,0,30-45,bachelors,toxicity
202,1546,female,0,18-30,professional,toxicity
203,625,male,0,18-30,masters,toxicity
204,1798,male,0,18-30,hs,toxicity
205,425,male,0,45-60,hs,toxicity
206,323,female,0,30-45,bachelors,toxicity
207,2693,male,0,18-30,hs,toxicity
208,1588,male,0,30-45,professional,toxicity
209,2354,male,1,30-45,hs,toxicity
210,230,male,0,30-45,hs,toxicity
211,2450,male,0,18-30,hs,toxicity
212,302,male,0,45-60,hs,toxicity
213,2321,male,0,18-30,bachelors,toxicity
214,691,male,0,18-30,masters,toxicity
215,2688,female,0,18-30,bachelors,toxicity
216,134,male,0,18-30,bachelors,toxicity
217,1397,female,0,30-45,bachelors,toxicity
218,2476,male,0,18-30,bachelors,toxicity
219,662,male,0,18-30,bachelors,toxicity
220,646,female,0,30-45,bachelors,toxicity
221,4141,female,0,30-45,hs,toxicity
222,2901,male,0,30-45,masters,toxicity
223,934,male,0,30-45,professional,toxicity
224,2141,female,1,30-45,bachelors,toxicity
225,265,female,0,18-30,masters,toxicity
226,347,male,0,30-45,bachelors,toxicity
227,2391,female,0,30-45,bachelors,toxicity
228,276,male,0,30-45,hs,toxicity
229,1032,male,0,30-45,hs,toxicity
230,2432,female,0,18-30,some,toxicity
231,2162,male,0,18-30,hs,toxicity
232,1113,male,0,18-30,masters,toxicity
233,891,female,0,18-30,bachelors,toxicity
234,800,male,0,30-45,bachelors,toxicity
235,651,male,0,18-30,bachelors,toxicity
236,492,male,1,45-60,bachelors,toxicity
237,1179,female,0,30-45,some,toxicity
238,2014,male,0,18-30,bachelors,toxicity
239,3156,female,1,18-30,masters,toxicity
240,903,male,0,18-30,professional,toxicity
241,200,male,0,30-45,professional,toxicity
242,1995,male,0,30-45,masters,toxicity
243,926,male,0,18-30,bachelors,toxicity
244,515,male,1,18-30,hs,toxicity
245,101,male,0,18-30,masters,toxicity
246,494,male,0,30-45,bachelors,toxicity
247,466,male,0,18-30,hs,toxicity
248,3291,male,0,45-60,professional,toxicity
249,634,female,0,30-45,masters,toxicity
250,1073,male,1,30-45,hs,toxicity
251,121,male,0,18-30,bachelors,toxicity
252,1603,male,0,18-30,masters,toxicity
253,2124,female,0,30-45,masters,toxicity
254,3160,male,0,45-60,bachelors,toxicity
255,2268,male,0,30-45,masters,toxicity
256,626,male,0,18-30,hs,toxicity
257,1641,male,0,18-30,hs,toxicity
258,652,male,0,30-45,bachelors,toxicity
259,997,male,0,18-30,some,toxicity
260,3132,female,1,30-45,bachelors,toxicity
261,1513,female,0,18-30,bachelors,toxicity
262,719,male,1,30-45,hs,toxicity
263,2207,male,0,45-60,hs,toxicity
264,191,female,0,30-45,hs,toxicity
265,929,female,0,18-30,bachelors,toxicity
266,374,male,0,18-30,doctorate,toxicity
267,3285,male,1,30-45,bachelors,toxicity
268,2889,female,0,30-45,bachelors,toxicity
269,653,male,0,18-30,bachelors,toxicity
270,1998,male,0,30-45,hs,toxicity
271,1646,male,0,30-45,masters,toxicity
272,158,male,0,18-30,bachelors,toxicity
273,1814,male,0,30-45,bachelors,toxicity
274,43,male,0,18-30,bachelors,toxicity
275,545,male,0,18-30,masters,toxicity
276,2235,female,0,30-45,hs,toxicity
277,1528,male,0,18-30,professional,toxicity
278,1885,female,0,18-30,hs,toxicity
279,2178,male,1,18-30,bachelors,toxicity
280,3125,female,0,30-45,bachelors,toxicity
281,234,female,0,30-45,professional,toxicity
282,644,male,0,18-30,hs,toxicity
283,181,male,0,30-45,bachelors,toxicity
284,560,male,1,18-30,bachelors,toxicity
285,1487,female,0,30-45,bachelors,toxicity
286,3676,female,0,45-60,hs,toxicity
287,4076,female,1,30-45,masters,toxicity
288,839,male,0,18-30,bachelors,toxicity
289,4021,male,0,30-45,hs,toxicity
290,3440,male,1,18-30,bachelors,toxicity
291,4184,female,0,18-30,hs,toxicity
292,605,female,0,30-45,some,toxicity
293,1893,male,0,30-45,professional,toxicity
294,468,female,0,30-45,bachelors,toxicity
295,629,female,0,30-45,hs,toxicity
296,1451,male,0,30-45,bachelors,toxicity
297,1233,male,0,30-45,bachelors,toxicity
298,203,male,0,18-30,hs,toxicity
299,588,male,0,18-30,bachelors,toxicity
300,21,male,0,18-30,hs,toxicity
301,1411,female,0,45-60,professional,toxicity
302,3016,male,0,18-30,masters,toxicity
303,650,male,0,18-30,bachelors,toxicity
304,490,male,0,45-60,hs,toxicity
305,1493,male,0,30-45,bachelors,toxicity
306,1081,male,0,30-45,professional,toxicity
307,3283,female,0,30-45,hs,toxicity
308,2392,male,1,30-45,professional,toxicity
309,1161,male,0,18-30,masters,toxicity
310,60,male,0,18-30,bachelors,toxicity
311,1283,female,0,30-45,professional,toxicity
312,190,female,0,18-30,bachelors,toxicity
313,1527,male,0,18-30,hs,toxicity
314,2606,male,0,30-45,hs,toxicity
315,2803,male,0,30-45,professional,toxicity
316,1985,female,0,30-45,bachelors,toxicity
317,718,female,0,30-45,hs,toxicity
318,1354,female,0,30-45,bachelors,toxicity
319,2279,male,0,Under 18,bachelors,toxicity
320,3034,male,0,18-30,bachelors,toxicity
321,2674,female,0,18-30,bachelors,toxicity
322,1160,female,0,30-45,hs,toxicity
323,2335,male,1,30-45,masters,toxicity
324,3848,male,1,30-45,bachelors,toxicity
325,1064,male,0,18-30,hs,toxicity
326,2463,male,0,18-30,bachelors,toxicity
327,156,male,0,30-45,bachelors,toxicity
328,1044,male,1,30-45,bachelors,toxicity
329,912,male,0,30-45,professional,toxicity
330,2516,female,1,18-30,masters,toxicity
331,301,male,0,18-30,bachelors,toxicity
332,3619,male,0,18-30,hs,toxicity
333,410,female,0,18-30,bachelors,toxicity
334,132,male,0,18-30,bachelors,toxicity
335,1971,male,0,18-30,professional,toxicity
336,1310,male,0,30-45,hs,toxicity
337,3555,female,1,45-60,bachelors,toxicity
338,2579,male,0,30-45,masters,toxicity
339,420,male,1,18-30,masters,toxicity
340,1600,female,0,30-45,professional,toxicity
341,2204,female,0,18-30,professional,toxicity
342,1039,male,0,45-60,bachelors,toxicity
343,1415,female,0,45-60,masters,toxicity
344,536,male,0,30-45,masters,toxicity
345,84,female,0,18-30,masters,toxicity
346,164,female,0,30-45,bachelors,toxicity
347,4201,female,0,18-30,bachelors,toxicity
348,2073,female,0,30-45,bachelors,toxicity
349,665,female,0,30-45,professional,toxicity
350,2097,male,0,30-45,masters,toxicity
351,3415,female,0,30-45,professional,toxicity
352,2031,male,0,18-30,hs,toxicity
353,575,male,0,18-30,hs,toxicity
354,2546,male,0,18-30,professional,toxicity
355,833,male,0,18-30,hs,toxicity
356,2383,female,0,45-60,bachelors,toxicity
357,292,male,0,45-60,bachelors,toxicity
358,1143,female,0,30-45,hs,toxicity
359,2208,male,0,18-30,hs,toxicity
360,1589,female,0,30-45,professional,toxicity
361,236,male,0,30-45,bachelors,toxicity
362,1598,female,0,45-60,bachelors,toxicity
363,2205,male,0,30-45,professional,toxicity
364,1615,male,1,18-30,professional,toxicity
365,816,female,0,18-30,hs,toxicity
366,346,male,0,30-45,hs,toxicity
367,1790,male,0,30-45,hs,toxicity
368,45,female,1,18-30,bachelors,toxicity
369,608,male,0,18-30,masters,toxicity
370,2394,male,0,18-30,professional,toxicity
371,772,male,0,18-30,bachelors,toxicity
372,1055,male,0,18-30,professional,toxicity
373,873,male,1,30-45,professional,toxicity
374,3233,male,0,30-45,bachelors,toxicity
375,2399,male,0,18-30,bachelors,toxicity
376,272,female,0,30-45,hs,toxicity
377,2503,male,0,30-45,bachelors,toxicity
378,2485,male,1,30-45,bachelors,toxicity
379,1845,male,0,45-60,hs,toxicity
380,3100,female,1,18-30,bachelors,toxicity
381,2304,male,0,18-30,professional,toxicity
382,184,female,0,30-45,masters,toxicity
383,1497,female,0,18-30,masters,toxicity
384,563,male,0,30-45,bachelors,toxicity
385,531,female,0,18-30,hs,toxicity
386,2050,female,1,18-30,bachelors,toxicity
387,1973,male,0,18-30,hs,toxicity
388,2381,male,1,45-60,masters,toxicity
389,761,male,0,30-45,bachelors,toxicity
390,2130,male,0,45-60,doctorate,toxicity
391,2389,female,0,18-30,bachelors,toxicity
392,598,female,0,18-30,masters,toxicity
393,429,male,0,30-45,hs,toxicity
394,2950,female,1,18-30,bachelors,toxicity
395,320,male,0,18-30,professional,toxicity
396,4010,male,0,,masters,toxicity
397,2059,male,0,18-30,bachelors,toxicity
398,1931,female,1,45-60,hs,toxicity
399,3535,female,0,18-30,bachelors,toxicity
400,1404,male,0,18-30,masters,toxicity
401,1925,male,0,18-30,hs,toxicity
402,3859,male,0,18-30,hs,toxicity
403,2183,male,0,30-45,hs,toxicity
404,1544,male,0,18-30,bachelors,toxicity
405,2068,male,0,18-30,hs,toxicity
406,939,female,0,18-30,professional,toxicity
407,1946,female,1,30-45,hs,toxicity
408,3508,male,0,30-45,masters,toxicity
409,1554,male,0,30-45,bachelors,toxicity
410,895,female,0,30-45,professional,toxicity
411,983,male,0,18-30,professional,toxicity
412,433,female,0,30-45,bachelors,toxicity
413,749,male,0,18-30,bachelors,toxicity
414,3138,male,0,30-45,masters,toxicity
415,3098,female,0,18-30,hs,toxicity
416,689,male,0,45-60,professional,toxicity
417,2855,male,0,30-45,bachelors,toxicity
418,859,female,0,18-30,hs,toxicity
419,294,female,0,30-45,bachelors,toxicity
420,925,male,0,Under 18,hs,toxicity
421,3333,female,1,18-30,bachelors,toxicity
422,2336,male,1,18-30,hs,toxicity
423,1041,male,0,18-30,bachelors,toxicity
424,3215,male,0,30-45,bachelors,toxicity
425,1884,male,0,45-60,masters,toxicity
426,1827,male,0,Over 60,bachelors,toxicity
427,726,male,0,30-45,bachelors,toxicity
428,2861,female,1,30-45,bachelors,toxicity
429,1954,male,0,18-30,bachelors,toxicity
430,956,male,0,30-45,some,toxicity
431,1031,male,0,45-60,bachelors,toxicity
432,141,male,0,18-30,bachelors,toxicity
433,267,female,0,18-30,professional,toxicity
434,1728,male,0,30-45,bachelors,toxicity
435,2442,female,0,18-30,bachelors,toxicity
436,1754,female,0,18-30,professional,toxicity
437,379,male,0,18-30,hs,toxicity
438,2853,male,0,30-45,bachelors,toxicity
439,3145,male,1,18-30,hs,toxicity
440,3476,female,0,30-45,professional,toxicity
441,115,male,0,30-45,professional,toxicity
442,1638,male,0,30-45,bachelors,toxicity
443,3846,male,0,30-45,hs,toxicity
444,582,female,0,30-45,bachelors,toxicity
445,488,male,0,18-30,masters,toxicity
446,868,female,0,18-30,bachelors,toxicity
447,339,female,0,18-30,bachelors,toxicity
448,1834,male,0,30-45,professional,toxicity
449,213,male,0,18-30,bachelors,toxicity
450,1767,male,0,Under 18,hs,toxicity
451,11,female,0,30-45,hs,toxicity
452,295,female,0,45-60,professional,toxicity
453,91,male,0,18-30,hs,toxicity
454,2939,male,0,30-45,bachelors,toxicity
455,9,female,0,18-30,bachelors,toxicity
456,1895,male,0,30-45,bachelors,toxicity
457,448,male,0,18-30,bachelors,toxicity
458,1470,female,0,30-45,bachelors,toxicity
459,2807,female,0,18-30,bachelors,toxicity
460,1453,female,0,30-45,bachelors,toxicity
461,2497,male,0,18-30,hs,toxicity
462,193,female,0,30-45,masters,toxicity
463,3197,male,0,30-45,bachelors,toxicity
464,65,male,1,18-30,hs,toxicity
465,558,male,0,18-30,bachelors,toxicity
466,3758,male,1,18-30,professional,toxicity
467,3592,male,0,18-30,bachelors,toxicity
468,3611,male,0,45-60,masters,toxicity
469,1688,male,0,30-45,bachelors,toxicity
470,1050,female,0,18-30,bachelors,toxicity
471,1427,male,0,18-30,hs,toxicity
472,137,male,1,18-30,bachelors,toxicity
473,1114,male,0,18-30,bachelors,toxicity
474,3648,female,1,18-30,bachelors,toxicity
475,2470,male,0,18-30,hs,toxicity
476,2419,male,0,18-30,professional,toxicity
477,1911,male,0,18-30,masters,toxicity
478,3269,male,0,30-45,bachelors,toxicity
479,1335,male,0,Over 60,professional,toxicity
480,4134,male,0,45-60,masters,toxicity
481,693,male,0,30-45,masters,toxicity
482,174,female,0,18-30,hs,toxicity
483,3514,male,0,18-30,hs,toxicity
484,149,male,1,30-45,professional,toxicity
485,2420,female,0,18-30,bachelors,toxicity
486,185,female,0,18-30,hs,toxicity
487,1731,male,1,30-45,hs,toxicity
488,635,female,0,Over 60,professional,toxicity
489,1083,female,0,45-60,hs,toxicity
490,282,male,0,45-60,masters,toxicity
491,782,male,0,30-45,bachelors,toxicity
492,1771,male,0,Under 18,hs,toxicity
493,3885,female,0,18-30,bachelors,toxicity
494,621,male,0,30-45,professional,toxicity
495,1410,male,0,18-30,professional,toxicity
496,534,male,0,18-30,hs,toxicity
497,854,female,0,45-60,professional,toxicity
498,2922,female,0,45-60,hs,toxicity
499,398,male,1,45-60,bachelors,toxicity
500,656,male,0,18-30,professional,toxicity
501,100,male,1,18-30,professional,toxicity
502,1629,male,1,30-45,hs,toxicity
503,217,male,0,30-45,bachelors,toxicity
504,403,male,0,18-30,bachelors,toxicity
505,1507,male,0,18-30,bachelors,toxicity
506,781,male,0,18-30,hs,toxicity
507,4267,male,0,30-45,professional,toxicity
508,721,male,0,18-30,hs,toxicity
509,165,male,0,45-60,professional,toxicity
510,1281,male,0,18-30,hs,toxicity
511,1054,male,0,18-30,masters,toxicity
512,927,male,0,30-45,professional,toxicity
513,262,male,0,18-30,hs,toxicity
514,814,male,0,45-60,masters,toxicity
515,2377,male,1,30-45,hs,toxicity
516,3813,female,1,18-30,hs,toxicity
517,2439,male,0,Under 18,hs,toxicity
518,602,male,0,30-45,professional,toxicity
519,3590,male,0,30-45,professional,toxicity
520,1682,male,0,45-60,hs,toxicity
521,3449,female,0,18-30,masters,toxicity
522,1949,female,0,18-30,bachelors,toxicity
523,1674,male,0,30-45,some,toxicity
524,2051,male,0,18-30,hs,toxicity
525,1879,male,0,30-45,bachelors,toxicity
526,1351,female,0,30-45,hs,toxicity
527,3489,male,0,18-30,hs,toxicity
528,1194,male,1,30-45,bachelors,toxicity
529,3151,male,0,30-45,masters,toxicity
530,365,female,1,18-30,bachelors,toxicity
531,3639,male,0,30-45,bachelors,toxicity
532,2703,male,1,30-45,bachelors,toxicity
533,2864,male,0,18-30,professional,toxicity
534,2083,male,0,30-45,bachelors,toxicity
535,730,male,0,18-30,hs,toxicity
536,3528,female,0,18-30,hs,toxicity
537,324,male,0,18-30,hs,toxicity
538,2217,male,0,18-30,bachelors,toxicity
539,1500,female,0,18-30,bachelors,toxicity
540,1315,male,0,18-30,hs,toxicity
541,128,male,0,30-45,bachelors,toxicity
542,211,female,0,18-30,masters,toxicity
543,397,male,1,18-30,masters,toxicity
544,1574,female,0,30-45,bachelors,toxicity
545,3598,male,0,18-30,masters,toxicity
546,1784,male,0,18-30,bachelors,toxicity
547,853,female,0,30-45,hs,toxicity
548,623,female,0,18-30,doctorate,toxicity
549,4121,female,1,18-30,hs,toxicity
550,2385,female,0,18-30,hs,toxicity
551,777,male,0,18-30,hs,toxicity
552,1846,female,0,18-30,professional,toxicity
553,2483,male,0,30-45,hs,toxicity
554,110,male,0,30-45,bachelors,toxicity
555,3566,male,0,18-30,bachelors,toxicity
556,813,male,0,18-30,bachelors,toxicity
557,2732,male,0,,bachelors,toxicity
558,2017,male,0,18-30,hs,toxicity
559,4084,female,0,18-30,hs,toxicity
560,2577,male,0,18-30,bachelors,toxicity
561,3926,female,1,30-45,bachelors,toxicity
562,3456,male,0,18-30,hs,toxicity
563,225,male,0,30-45,professional,toxicity
564,279,male,0,18-30,hs,toxicity
565,734,male,1,18-30,professional,toxicity
566,3169,male,1,18-30,hs,toxicity
567,2524,female,1,45-60,some,toxicity
568,1631,male,0,18-30,hs,toxicity
569,256,male,0,18-30,bachelors,toxicity
570,122,female,0,45-60,some,toxicity
571,1907,male,0,45-60,bachelors,toxicity
572,1273,male,1,Over 60,bachelors,toxicity
573,1357,male,0,30-45,professional,toxicity
574,2945,female,0,Over 60,bachelors,toxicity
575,3041,male,1,18-30,hs,toxicity
576,2346,male,0,18-30,bachelors,toxicity
577,82,male,0,18-30,bachelors,toxicity
578,395,male,0,18-30,bachelors,toxicity
579,1183,male,0,30-45,masters,toxicity
580,1689,male,1,18-30,bachelors,toxicity
581,3702,female,0,45-60,professional,toxicity
582,2428,male,0,18-30,bachelors,toxicity
583,2306,male,1,18-30,professional,toxicity
584,487,male,0,18-30,bachelors,toxicity
585,1356,male,0,18-30,bachelors,toxicity
586,1740,female,1,18-30,hs,toxicity
587,1807,male,0,18-30,bachelors,toxicity
588,516,male,0,18-30,hs,toxicity
589,154,male,0,30-45,bachelors,toxicity
590,406,male,0,18-30,bachelors,toxicity
591,3842,female,0,30-45,professional,toxicity
592,981,male,0,18-30,bachelors,toxicity
593,2254,male,0,45-60,masters,toxicity
594,124,male,0,30-45,bachelors,toxicity
595,286,female,1,30-45,bachelors,toxicity
596,2448,female,0,18-30,bachelors,toxicity
597,2418,male,0,30-45,bachelors,toxicity
598,1891,female,0,30-45,hs,toxicity
599,1026,male,1,45-60,masters,toxicity
600,2111,male,0,30-45,bachelors,toxicity
601,2300,male,0,18-30,hs,toxicity
602,2967,male,0,18-30,hs,toxicity
603,338,male,0,30-45,professional,toxicity
604,319,female,0,18-30,professional,toxicity
605,840,male,0,18-30,hs,toxicity
606,130,female,0,18-30,hs,toxicity
607,790,male,0,18-30,bachelors,toxicity
608,2592,female,0,30-45,bachelors,toxicity
609,3171,male,1,18-30,hs,toxicity
610,3212,male,0,18-30,doctorate,toxicity
611,1330,female,1,,bachelors,toxicity
612,508,male,0,18-30,hs,toxicity
613,1304,male,0,,bachelors,toxicity
614,349,male,0,18-30,bachelors,toxicity
615,472,female,0,18-30,bachelors,toxicity
616,1178,male,0,30-45,professional,toxicity
617,90,female,0,18-30,hs,toxicity
618,2495,male,0,45-60,bachelors,toxicity
619,270,male,0,18-30,bachelors,toxicity
620,2230,male,0,18-30,bachelors,toxicity
621,4220,male,0,45-60,masters,toxicity
622,2455,female,0,18-30,bachelors,toxicity
623,2837,male,0,30-45,bachelors,toxicity
624,333,female,0,18-30,hs,toxicity
625,1046,male,0,30-45,masters,toxicity
626,1036,male,0,18-30,some,toxicity
627,2804,male,0,30-45,bachelors,toxicity
628,2549,male,0,18-30,bachelors,toxicity
629,1910,male,1,18-30,hs,toxicity
630,415,female,1,30-45,hs,toxicity
631,3173,male,0,18-30,hs,toxicity
632,1746,male,0,18-30,bachelors,toxicity
633,1025,female,0,18-30,professional,toxicity
634,3355,male,0,30-45,bachelors,toxicity
635,3222,male,0,45-60,hs,toxicity
636,1058,male,0,30-45,bachelors,toxicity
637,2112,female,0,18-30,bachelors,toxicity
638,655,male,0,18-30,bachelors,toxicity
639,4150,female,1,18-30,masters,toxicity
640,1691,male,0,18-30,professional,toxicity
641,1830,female,0,18-30,bachelors,toxicity
642,3121,female,0,18-30,bachelors,toxicity
643,33,female,0,30-45,doctorate,toxicity
644,679,male,1,18-30,masters,toxicity
645,1569,male,0,45-60,hs,toxicity
646,3431,female,0,30-45,bachelors,toxicity
647,1593,male,0,Under 18,hs,toxicity
648,599,male,0,30-45,hs,toxicity
649,387,male,0,18-30,hs,toxicity
650,2171,male,0,30-45,doctorate,toxicity
651,1864,female,1,45-60,hs,toxicity
652,1660,female,1,30-45,bachelors,toxicity
